,Name,Company,LinkedIn,Batch
31,Jen Asher,1910 Genetics,http://www.linkedin.com/in/jenasherphd,W19
32,Ruben A. Harris,"OutRival, Inc.",https://www.linkedin.com/in/rubenharris/,W19
33,Timur Meyster,"OutRival, Inc.",https://www.linkedin.com/in/timurmeyster/,W19
34,Daniel Bilbao,Truora,https://www.linkedin.com/in/danielbilbao/,W19
35,David Cuadrado,Truora,https://www.linkedin.com/in/dcuadrado/,W19
36,Maite Muniz Telleria,Truora,https://www.linkedin.com/in/maite-muniz-telleria-371079b4/,W19
37,Cesar Pino,Truora,https://co.linkedin.com/in/cepinos,W19
38,Joe Ahearn,Withfriends,https://www.linkedin.com/in/joe-ahearn,W19
39,Kunal Gupta,Withfriends,https://www.linkedin.com/in/mrkunalgupta,W19
40,Tony Spiro,Cosmic,https://www.linkedin.com/in/tonyspiro/,W19
41,Andrew Nakkache,FIRST,https://www.linkedin.com/in/andrewnakkache,W19
42,Michael Paszkiewicz,FIRST,https://linkedin.com/mikepaszkiewicz,W19
43,Anthony Oduwole,Verto,https://www.linkedin.com/in/anthonyoduu/,W19
44,Ola Oyetayo,Verto,https://www.linkedin.com/in/ola-oyetayo-02277516/,W19
45,Ethan Lieber,Latchel,https://www.linkedin.com/in/ethanlieber/,W19
46,Will Gordon,Latchel,https://www.linkedin.com/in/wtgordon/,W19
47,Varun AV,Inito,https://www.linkedin.com/pub/varun-av/3/a9a/552?trk=pub-pbmap,W19
48,Aayush Rai,Inito,https://in.linkedin.com/in/aayush-rai-b2034a9,W19
49,Shaun Ng,Globe,https://www.linkedin.com/in/shaun-ng-7a5434138/,W19
50,James West,Globe,https://www.linkedin.com/in/james-west-3522375a/,W19
51,Ben Adida,VotingWorks,https://www.linkedin.com/in/benadida/,W19
52,Ilsu Park,Mars Auto,https://www.linkedin.com/in/daftshady/,W19
53,Yuva Kumar,Dockup,https://www.linkedin.com/in/iffyuva/,W19
54,Emil Soman,Dockup,https://www.linkedin.com/in/emilsoman/,W19
55,Fabian Gomez Gutierrez,Frubana Inc,https://www.linkedin.com/in/fegomezgutierrez/,W19
56,Bjarke Felbo,Rune,https://www.linkedin.com/in/bjarkefelbo/,W19
57,Sanjay Guruprasad,Rune,https://www.linkedin.com/in/sanjaypojo/,W19
58,Felipe Echandi,Cuanto,https://www.linkedin.com/in/felipeechandi,W19
59,Jorge L García,Cuanto,https://www.linkedin.com/in/jorge-luis-garcia-chapman-09487717/,W19
60,Jose Varela,Cuanto,https://www.linkedin.com/in/jose-varela-9a345813/,W19
61,Nydia Cano,Pronto,,W19
62,Gabriel Cano Rodríguez,Pronto,,W19
63,Joginder Tanikella,Pulse Active Stations Network,https://www.linkedin.com/in/jogindertanikella/,W19
64,Neerav Jain,Cityfurnish,https://www.linkedin.com/in/jainneerav/,W19
65,Saurabh Gupta,Cityfurnish,https://www.linkedin.com/in/saurabh-gupta-4595121/,W19
66,Mark Probst,Glide,https://www.linkedin.com/in/markprobst/,W19
67,David Siegel,Glide,https://www.linkedin.com/in/dvdsgl,W19
68,Jason Smith,Glide,https://www.linkedin.com/in/jasonsmith16/,W19
