Unnamed: 0,Name,Company,LinkedIn,Batch,exit_value_usd,total_funding_usd
760,Anahí Sosa,Perfekto,https://www.linkedin.com/in/anahisosa/,S21,0.0,1100000.0
761,Jan Heinvirta,Perfekto,https://www.linkedin.com/in/janheinvirta/,S21,0.0,1100000.0
762,Olcay Yilmazcoban,SenpAI.GG,https://www.linkedin.com/in/olcay-y%C4%B1lmaz%C3%A7oban-51303161/,S21,0.0,3200000.0
763,Berk Ozer,SenpAI.GG,https://www.linkedin.com/in/ozerberk/,S21,0.0,3200000.0
764,Anne-Sophie Mertgen,Micro Meat,https://www.linkedin.com/in/anne-sophie-mertgen/,S21,0.0,375000.0
765,Vincent Pribble,Micro Meat,https://www.linkedin.com/in/vincentpribble/,S21,0.0,375000.0
766,Andrew Zhou,Commery,https://www.linkedin.com/in/andrewjzhou/,S21,0.0,0.0
767,Lyon Aung,Commery,https://www.linkedin.com/in/lyonaung/,S21,0.0,0.0
768,Eric He,Commery,https://www.linkedin.com/in/ehe3/,S21,0.0,0.0
769,Stefan Heule,Nexus,https://www.linkedin.com/in/stefan-heule-b46ab991/,S21,0.0,0.0
770,Chen-Chen Huo,Nexus,https://www.linkedin.com/in/chenchenhuo,S21,0.0,0.0
771,Konstantin Weitz,Nexus,https://www.linkedin.com/in/konstantin-weitz-75979443/,S21,0.0,0.0
772,Vikas Shanbhogue,Lariat Data,https://www.linkedin.com/in/vikas-shanbhogue-11315b4b/,S21,0.0,0.0
773,Aaditya Talwai,Lariat Data,https://www.linkedin.com/in/talwai,S21,0.0,0.0
774,Paul Nakata,Abbot,https://www.linkedin.com/in/paulnakata/,S21,0.0,0.0
775,Phil Haack,Abbot,https://www.linkedin.com/in/haacked/,S21,0.0,0.0
776,Peter Balmforth,V-Flow Medical,https://www.linkedin.com/in/peterbalmforth?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3BVXGI61CWQ1uAnVMiTMv9DQ%3D%3D,S21,0.0,5000000.0
777,Rodney Brenneman,V-Flow Medical,https://www.linkedin.com/in/rodney-brenneman-2652688/,S21,0.0,5000000.0
778,paul sobotka,V-Flow Medical,Paul Alan Sobotka,S21,0.0,5000000.0
779,Darren Spencer,V-Flow Medical,http://linkedin.com/in/darren-spencer-5922717,S21,0.0,5000000.0
780,Bhairav Mehta,Buzzle,https://linkedin.com/in/bhairav-mehta,S21,0.0,0.0
781,Adithya Ramanathan,Buzzle,https://www.linkedin.com/in/adithyaramanathan/,S21,0.0,0.0
782,Michael Staunton,Buzzle,http://www.linkedin.com/in/michaelbstaunton/,S21,0.0,0.0
783,Jeff Wilson,Jupe,https://linkedin.com/in/jeffwilsonphd,S21,0.0,9500000.0
784,Antonio Gonzalez,Jupe,https://www.linkedin.com/in/jantoniogonzalez/,S21,0.0,9500000.0
785,Roshan Farhan,Gobillion,https://www.linkedin.com/in/roshanfarhan/,S21,0.0,3030000.0
786,Kulapradip Bharali,Gobillion,https://www.linkedin.com/in/kulapradipbharali/,S21,0.0,3030000.0
787,Gabriel Luque,Wabi,https://linkedin.com/in/gluquem,S21,0.0,0.0
788,Javier Méndez,Wabi,https://www.linkedin.com/in/javierm25,S21,0.0,0.0
789,Taylor Culbertson,Hedgehog,https://www.linkedin.com/in/taylorculbertson/,S21,0.0,0.0
790,Colton Dillion,Hedgehog,https://linkedin.com/in/cadillion,S21,0.0,0.0
791,Jason Dillion,Hedgehog,https://www.linkedin.com/in/jason-dillion/,S21,0.0,0.0
792,Jibril Gudal,Lobby,https://linkedin.com/in/jibril-gudal-b5a92417b,S21,0.0,0.0
793,Hootan Mahallati,Hyperseed,https://www.linkedin.com/in/hootanmahallati/,S21,0.0,0.0
794,Georg Untersalmberger,Hyperseed,https://www.linkedin.com/in/untersalmberger/,S21,0.0,0.0
795,Arsh Shah Dilbagi,Zage,https://www.linkedin.com/in/dilbagi,S21,0.0,0.0
796,Cole Bransford,Zage,https://www.linkedin.com/in/cole-bransford-360b2013b/,S21,0.0,0.0
797,Ryan Ozminkowski,Zage,https://linkedin.com/in/ryan-ozminkowski-85a3309a,S21,0.0,0.0
