,Name,Company,LinkedIn,Batch
277,Arnie Englander,Fancy,https://linkedin.com/in/arnie-englander,S20
278,Jack Wilson,Fancy,https://www.linkedin.com/in/jackwilson3/,S20
279,Al Yang,SafeBase,https://www.linkedin.com/in/alyang10/,S20
280,Adar Arnon,SafeBase,https://www.linkedin.com/in/adarnon/,S20
281,Enrique Rodriguez,Together Video Chat,https://www.linkedin.com/in/enriquerodriguezchamussy/,S20
282,Yunyu Lin,Cohere,https://www.linkedin.com/in/yunyu-lin/,S20
283,Rahul Sengottuvelu,Cohere,https://www.linkedin.com/in/rahul-gs/,S20
284,David Pastewka,Drapr,https://www.linkedin.com/in/davidpastewka/,S20
285,Richard Berwick,Drapr,https://www.linkedin.com/in/richard-berwick-93995629/,S20
286,William Drevno,Drapr,https://www.linkedin.com/in/will-drevno-0a78832a/,S20
287,Carlo Candela,Sameplan,https://www.linkedin.com/in/carlo-candela-68746a68/,S20
288,Brent D'Adamo,Sameplan,https://www.linkedin.com/in/brent-dadamo-b2b6342b/,S20
289,Peter Gao,Aquarium Learning,https://www.linkedin.com/in/pgaooo/,S20
290,Quinn Johnson,Aquarium Learning,https://www.linkedin.com/in/quinnhj/,S20
291,Udara Jayawardena,Clew,https://lk.linkedin.com/in/udarajay,S20
292,Haish Qian,Clew,https://www.linkedin.com/in/haishanqian/,S20
293,Miguel Medina,Plerk,https://linkedin.com/in/mikemedina20,S20
294,Angel Arias,Plerk,https://www.linkedin.com/in/aeduardoac/,S20
295,Jose Antonio Martinez Quintero,Plerk,https://linkedin.com/in/joseantoniomtzq,S20
296,John Sully,KeyDB,https://www.linkedin.com/in/jdsully/,S20
297,Ben Schermel,KeyDB,https://www.linkedin.com/in/ben-schermel-b68105179/,S20
298,Corey Mahan,Vectrix,https://www.linkedin.com/in/coreymahan,S20
299,Alex Dunbrack,Vectrix,https://linkedin.com/in/alexdunbrack,S20
300,Matthew Lewis,Vectrix,https://www.linkedin.com/in/matthew-lewis-8043a316b/,S20
301,John Tan,Workbase,https://www.linkedin.com/in/johnztan/,S20
302,Ed Parsons,Workbase,https://www.linkedin.com/in/efparsons/,S20
303,Akshay Ramaswamy,Omni,https://www.linkedin.com/in/akshay-ramaswamy-7189559a/,S20
304,Andrew Chang,Omni,https://www.linkedin.com/in/andrew-chang-22a3a7110/,S20
305,Chetan Rane,Omni,https://www.linkedin.com/in/chet2an/,S20
306,Stephen Kump,Charityvest,https://www.linkedin.com/in/stephenkump,S20
307,Ashby Foltz,Charityvest,https://www.linkedin.com/in/ashbyfoltz/,S20
308,Andrea Mazzocchi,Known Medicine,https://www.linkedin.com/in/andrea-mazzocchi-b61b4b40/,S20
309,Katie-Rose Skelly,Known Medicine,https://www.linkedin.com/in/katie-rose-skelly-86778a8a/,S20
310,Jacek Prus,Current Foods,https://linkedin.com/in/jacek-prus-329893bb,S20
311,Tobia De Angelis,Strive School,https://www.linkedin.com/in/tobiadeangelis/,S20
312,Diego Banovaz,Strive School,https://www.linkedin.com/in/diegobanovaz/,S20
313,Jakub Langr,Hypermile,http://linkedin.com/in/jakublangr,S20
314,James Hennessey,Hypermile,https://www.linkedin.com/in/james-hennessey-2357391a/,S20
315,Rami Essaid,Finmark,https://www.linkedin.com/in/ramiessaid/,S20
316,Greg Lissy,Finmark,https://www.linkedin.com/in/greglissy/,S20
317,Jeremy Neuberger,Finmark,https://www.linkedin.com/in/jeremy-neuberger/,S20
318,Alex Hilleary,Gather,https://www.linkedin.com/in/alex-hilleary/,S20
319,Brooks Sime,Gather,https://www.linkedin.com/in/brookssime/,S20
320,John Wetzel,Gather,https://www.linkedin.com/in/johnwetzel2/,S20
321,Edoardo Conti,Bandit ML,https://www.linkedin.com/in/edoardoconti,S20
322,Joseph Gilley,Bandit ML,https://linkedin.com/in/joseph-gilley-8b96b924,S20
323,Lionel Vital,Bandit ML,https://www.linkedin.com/in/lionelvital,S20
324,James Evans,Command AI,https://www.linkedin.com/in/james-evans-7086b3126/,S20
325,Vinay Ayyala,Command AI,https://www.linkedin.com/in/vinay-ayyala-976a3279/,S20
326,Richard Freling,Command AI,https://www.linkedin.com/in/richard-freling/,S20
327,Seray Cicek,LSK Technologies,https://www.linkedin.com/in/seray-%C3%A7i%C3%A7ek-803970a7/,S20
328,Livia Guo,LSK Technologies,https://www.linkedin.com/in/liviaguo/,S20
329,Annie Hwang,Jemi,https://www.linkedin.com/in/annhwang/,S20
330,Jason Cui,Jemi,https://www.linkedin.com/in/jasonscui,S20
331,Brendan Falk,Fig,https://www.linkedin.com/in/brendanfalk/,S20
332,Matt Schrage,Fig,https://www.linkedin.com/in/matt-schrage-957b6843/,S20
